arm,content_type,n,pos,question,target,target_kept,n_kept,bytes_in,bytes_out,compressed,head10_kept
on,invoice_ids,20,0,needle,INV-2026-0001,1,13,862,720,1,
on,invoice_ids,20,3,needle,INV-2026-0004,1,13,862,720,1,
on,invoice_ids,20,5,needle,INV-2026-0006,0,13,862,720,1,
on,invoice_ids,20,6,needle,INV-2026-0007,1,13,862,720,1,
on,invoice_ids,20,10,needle,INV-2026-0011,1,13,863,721,1,
on,invoice_ids,20,15,needle,INV-2026-0016,0,13,863,721,1,
on,invoice_ids,20,19,needle,INV-2026-0020,1,13,863,721,1,
on,invoice_ids,20,-1,count,,,13,845,703,1,7
on,invoice_ids,20,-1,first,,,13,831,689,1,7
on,invoice_ids,20,-1,spread,,,13,882,740,1,7
on,invoice_ids,60,0,needle,INV-2026-0001,1,15,1622,756,1,
on,invoice_ids,60,3,needle,INV-2026-0004,1,15,1622,756,1,
on,invoice_ids,60,15,needle,INV-2026-0016,0,15,1623,757,1,
on,invoice_ids,60,16,needle,INV-2026-0017,0,15,1623,757,1,
on,invoice_ids,60,30,needle,INV-2026-0031,1,15,1623,757,1,
on,invoice_ids,60,45,needle,INV-2026-0046,0,15,1623,757,1,
on,invoice_ids,60,59,needle,INV-2026-0060,1,15,1623,757,1,
on,invoice_ids,60,-1,count,,,15,1605,739,1,6
on,invoice_ids,60,-1,first,,,15,1591,725,1,6
on,invoice_ids,60,-1,spread,,,15,1642,776,1,6
on,invoice_ids,150,0,needle,INV-2026-0001,1,15,3333,757,1,
on,invoice_ids,150,3,needle,INV-2026-0004,1,15,3333,757,1,
on,invoice_ids,150,37,needle,INV-2026-0038,0,15,3334,758,1,
on,invoice_ids,150,38,needle,INV-2026-0039,0,15,3334,758,1,
on,invoice_ids,150,75,needle,INV-2026-0076,0,15,3334,758,1,
on,invoice_ids,150,112,needle,INV-2026-0113,1,15,3335,759,1,
on,invoice_ids,150,149,needle,INV-2026-0150,1,15,3335,759,1,
on,invoice_ids,150,-1,count,,,15,3316,740,1,5
on,invoice_ids,150,-1,first,,,15,3302,726,1,5
on,invoice_ids,150,-1,spread,,,15,3353,777,1,5
