arm,content_type,n,pos,question,target,target_kept,n_kept,bytes_in,bytes_out,compressed,head10_kept
gateoff,invoice_ids,20,0,needle,INV-2026-0001,1,15,870,764,1,
gateoff,invoice_ids,20,3,needle,INV-2026-0004,1,15,870,764,1,
gateoff,invoice_ids,20,5,needle,INV-2026-0006,1,15,870,764,1,
gateoff,invoice_ids,20,6,needle,INV-2026-0007,1,15,870,764,1,
gateoff,invoice_ids,20,10,needle,INV-2026-0011,1,15,871,765,1,
gateoff,invoice_ids,20,15,needle,INV-2026-0016,0,15,871,765,1,
gateoff,invoice_ids,20,19,needle,INV-2026-0020,1,15,871,765,1,
gateoff,invoice_ids,20,-1,count,,,15,853,747,1,10
gateoff,invoice_ids,20,-1,first,,,15,839,733,1,10
gateoff,invoice_ids,20,-1,spread,,,15,890,784,1,10
gateoff,invoice_ids,60,0,needle,INV-2026-0001,1,15,1630,764,1,
gateoff,invoice_ids,60,3,needle,INV-2026-0004,1,15,1630,764,1,
gateoff,invoice_ids,60,15,needle,INV-2026-0016,1,15,1631,765,1,
gateoff,invoice_ids,60,16,needle,INV-2026-0017,0,15,1631,765,1,
gateoff,invoice_ids,60,30,needle,INV-2026-0031,1,15,1631,765,1,
gateoff,invoice_ids,60,45,needle,INV-2026-0046,1,15,1631,765,1,
gateoff,invoice_ids,60,59,needle,INV-2026-0060,1,15,1631,765,1,
gateoff,invoice_ids,60,-1,count,,,15,1613,747,1,5
gateoff,invoice_ids,60,-1,first,,,15,1599,733,1,5
gateoff,invoice_ids,60,-1,spread,,,15,1650,784,1,5
gateoff,invoice_ids,150,0,needle,INV-2026-0001,1,15,3341,765,1,
gateoff,invoice_ids,150,3,needle,INV-2026-0004,1,15,3341,765,1,
gateoff,invoice_ids,150,37,needle,INV-2026-0038,0,15,3342,766,1,
gateoff,invoice_ids,150,38,needle,INV-2026-0039,0,15,3342,766,1,
gateoff,invoice_ids,150,75,needle,INV-2026-0076,0,15,3342,766,1,
gateoff,invoice_ids,150,112,needle,INV-2026-0113,1,15,3343,767,1,
gateoff,invoice_ids,150,149,needle,INV-2026-0150,1,15,3343,767,1,
gateoff,invoice_ids,150,-1,count,,,15,3324,748,1,4
gateoff,invoice_ids,150,-1,first,,,15,3310,734,1,4
gateoff,invoice_ids,150,-1,spread,,,15,3361,785,1,4
gateoff,invoice_ids,400,0,needle,INV-2026-0001,1,15,8091,765,1,
gateoff,invoice_ids,400,3,needle,INV-2026-0004,1,15,8091,765,1,
gateoff,invoice_ids,400,100,needle,INV-2026-0101,0,15,8093,767,1,
gateoff,invoice_ids,400,101,needle,INV-2026-0102,0,15,8093,767,1,
gateoff,invoice_ids,400,200,needle,INV-2026-0201,0,15,8093,767,1,
gateoff,invoice_ids,400,300,needle,INV-2026-0301,0,15,8093,767,1,
gateoff,invoice_ids,400,399,needle,INV-2026-0400,1,15,8093,767,1,
gateoff,invoice_ids,400,-1,count,,,15,8074,748,1,4
gateoff,invoice_ids,400,-1,first,,,15,8060,734,1,4
