arm,content_type,n,pos,question,target,target_kept,n_kept,bytes_in,bytes_out,compressed,head10_kept
on,invoice_ids,20,0,needle,INV-2026-0001,1,13,919,776,1,
on,invoice_ids,20,3,needle,INV-2026-0004,1,13,919,776,1,
on,invoice_ids,20,5,needle,INV-2026-0006,1,14,919,794,1,
on,invoice_ids,20,6,needle,INV-2026-0007,1,13,919,776,1,
on,invoice_ids,20,10,needle,INV-2026-0011,1,13,921,778,1,
on,invoice_ids,20,15,needle,INV-2026-0016,1,14,921,796,1,
on,invoice_ids,20,19,needle,INV-2026-0020,1,13,921,778,1,
on,invoice_ids,20,-1,count,,,13,899,756,1,7
on,invoice_ids,20,-1,first,,,13,885,742,1,7
on,invoice_ids,20,-1,spread,,,13,937,794,1,7
on,invoice_ids,60,0,needle,INV-2026-0001,1,15,1679,812,1,
on,invoice_ids,60,3,needle,INV-2026-0004,1,15,1679,812,1,
on,invoice_ids,60,15,needle,INV-2026-0016,1,15,1681,814,1,
on,invoice_ids,60,16,needle,INV-2026-0017,1,15,1681,814,1,
on,invoice_ids,60,30,needle,INV-2026-0031,1,14,1681,796,1,
on,invoice_ids,60,45,needle,INV-2026-0046,1,15,1681,814,1,
on,invoice_ids,60,59,needle,INV-2026-0060,1,14,1681,796,1,
on,invoice_ids,60,-1,count,,,14,1659,774,1,5
on,invoice_ids,60,-1,first,,,14,1645,760,1,5
on,invoice_ids,60,-1,spread,,,14,1697,812,1,5
on,invoice_ids,150,0,needle,INV-2026-0001,1,15,3391,814,1,
on,invoice_ids,150,3,needle,INV-2026-0004,1,15,3391,814,1,
on,invoice_ids,150,37,needle,INV-2026-0038,1,15,3393,816,1,
on,invoice_ids,150,38,needle,INV-2026-0039,1,15,3393,816,1,
on,invoice_ids,150,75,needle,INV-2026-0076,1,15,3393,816,1,
on,invoice_ids,150,112,needle,INV-2026-0113,1,14,3395,800,1,
on,invoice_ids,150,149,needle,INV-2026-0150,1,14,3395,800,1,
on,invoice_ids,150,-1,count,,,14,3371,776,1,4
on,invoice_ids,150,-1,first,,,14,3357,762,1,4
on,invoice_ids,150,-1,spread,,,14,3409,814,1,4
on,invoice_ids,400,0,needle,INV-2026-0001,1,15,8141,814,1,
on,invoice_ids,400,3,needle,INV-2026-0004,1,15,8141,814,1,
on,invoice_ids,400,100,needle,INV-2026-0101,1,15,8145,818,1,
on,invoice_ids,400,101,needle,INV-2026-0102,1,15,8145,818,1,
on,invoice_ids,400,200,needle,INV-2026-0201,1,15,8145,818,1,
on,invoice_ids,400,300,needle,INV-2026-0301,1,15,8145,818,1,
on,invoice_ids,400,399,needle,INV-2026-0400,1,14,8145,800,1,
on,invoice_ids,400,-1,count,,,14,8121,776,1,4
on,invoice_ids,400,-1,first,,,14,8107,762,1,4
on,invoice_ids,400,-1,spread,,,14,8159,814,1,4
on,invoice_ids,1000,0,needle,INV-2026-0001,1,14,19543,798,1,
on,invoice_ids,1000,3,needle,INV-2026-0004,1,14,19543,798,1,
